group_key,group_type,files,functions,sum_nloc,sum_ccn,sum_token,avg_nloc,avg_ccn,avg_token,max_nloc,max_ccn,max_token,avg_params,max_params
providers,folder,841,8363,122710,21777,763966,14.673,2.604,91.351,161,45,1209,19.347,382
models,folder,37,984,11433,3129,76706,11.619,3.180,77.953,238,69,1705,16.985,299
www,folder,99,870,9607,2287,61066,11.043,2.629,70.191,321,60,2165,16.270,381
utils,folder,72,662,6671,2037,43910,10.077,3.077,66.329,598,25,1592,14.958,600
cli,folder,29,242,3294,944,21539,13.612,3.901,89.004,103,37,604,18.124,173
migrations,folder,155,375,4896,716,40365,13.056,1.909,107.640,234,14,2122,15.763,258
jobs,folder,7,142,3087,677,20190,21.739,4.768,142.183,251,45,1530,32.261,359
serialization,folder,19,172,1954,658,14662,11.360,3.826,85.244,144,50,1199,16.262,163
api_connexion,folder,37,194,2626,569,18700,13.536,2.933,96.392,100,16,833,17.036,114
configuration.py,file,1,114,1550,428,9635,13.596,3.754,84.518,104,19,517,17.851,122
dag_processing,folder,2,90,1483,379,9958,16.478,4.211,110.644,141,36,985,23.544,170
ti_deps,folder,19,47,860,300,5072,18.298,6.383,107.915,212,90,1014,33.660,475
operators,folder,12,82,1214,276,7603,14.805,3.366,92.720,77,18,444,17.793,94
api,folder,21,74,913,258,6363,12.338,3.486,85.986,67,19,448,18.270,97
providers_manager.py,file,1,90,827,225,5091,9.189,2.500,56.567,98,23,429,12.467,117
executors,folder,6,94,826,212,5769,8.787,2.255,61.372,50,13,258,13.234,65
sensors,folder,9,61,780,199,4871,12.787,3.262,79.852,78,22,388,15.770,95
decorators,folder,14,66,661,196,4555,10.015,2.970,69.015,84,12,561,15.273,96
example_dags,folder,40,140,704,195,4210,5.029,1.393,30.071,29,10,190,9.443,88
metrics,folder,6,71,610,181,4217,8.592,2.549,59.394,32,8,200,11.507,62
kubernetes,folder,4,40,622,176,4407,15.550,4.400,110.175,80,17,678,23.475,97
timetables,folder,8,98,547,173,3790,5.582,1.765,38.673,26,11,157,7.827,31
datasets,folder,3,57,378,139,2646,6.632,2.439,46.421,66,15,366,9.298,82
io,folder,4,47,320,121,2432,6.809,2.574,51.745,35,14,304,10.915,68
settings.py,file,1,42,395,117,2220,9.405,2.786,52.857,37,19,261,13.286,76
plugins_manager.py,file,1,27,325,117,1886,12.037,4.333,69.852,35,17,266,16.815,41
task,folder,5,36,406,113,2746,11.278,3.139,76.278,58,11,348,15.972,89
secrets,folder,5,42,307,100,2292,7.310,2.381,54.571,33,9,175,11.619,44
traces,folder,3,53,381,98,2525,7.189,1.849,47.642,38,8,265,8.887,49
triggers,folder,5,38,319,73,2225,8.395,1.921,58.553,23,7,167,11.289,27
lineage,folder,4,21,173,59,1340,8.238,2.810,63.810,25,18,317,15.524,61
auth,folder,4,35,187,57,1083,5.343,1.629,30.943,20,9,116,10.057,33
api_internal,folder,4,14,281,48,1635,20.071,3.429,116.786,103,19,467,28.214,105
template,folder,1,10,112,44,850,11.200,4.400,85.000,39,18,329,14.900,63
hooks,folder,4,26,153,43,1115,5.885,1.654,42.885,31,6,234,9.808,61
security,folder,3,11,132,40,766,12.000,3.636,69.636,56,12,297,18.727,72
exceptions.py,file,1,28,144,39,964,5.143,1.393,34.429,17,5,105,5.536,19
sentry.py,file,1,10,86,24,563,8.600,2.400,56.300,29,7,206,14.300,42
listeners,folder,6,18,50,21,329,2.778,1.167,18.278,8,2,71,4.333,9
callbacks,folder,4,15,81,18,513,5.400,1.200,34.200,13,2,73,6.200,13
policies.py,file,1,11,46,16,331,4.182,1.455,30.091,26,6,180,15.455,73
logging_config.py,file,1,3,51,16,273,17.000,5.333,91.000,30,9,167,25.333,48
templates.py,file,1,7,25,12,231,3.571,1.714,33.000,4,2,47,5.286,8
notifications,folder,1,6,38,11,270,6.333,1.833,45.000,17,3,101,10.833,26
stats.py,file,1,3,28,11,230,9.333,3.667,76.667,15,6,128,10.667,18
__main__.py,file,1,2,32,10,248,16.000,5.000,124.000,17,6,125,21.000,22
macros,folder,1,4,18,7,176,4.500,1.750,44.000,8,3,59,18.000,27
__init__.py,file,1,1,27,6,157,27.000,6.000,157.000,27,6,157,33.000,33
