group_key,group_type,files,functions,sum_nloc,sum_ccn,sum_token,avg_nloc,avg_ccn,avg_token,max_nloc,max_ccn,max_token,avg_params,max_params
ethernet,folder,2009,62349,1337604,262057,8405580,21.453,4.203,134.815,1814,233,7345,26.889,1832
wireless,folder,1272,32322,809440,153824,5199052,25.043,4.759,160.852,939,174,4743,30.925,984
phy,folder,93,2467,45023,10343,249569,18.250,4.193,101.163,286,83,1877,23.329,344
dsa,folder,102,2870,49231,10143,300364,17.154,3.534,104.656,163,47,1035,22.136,228
can,folder,105,2017,43519,8460,269709,21.576,4.194,133.718,195,65,1608,27.910,272
usb,folder,40,1319,31040,6313,197606,23.533,4.786,149.815,369,85,2843,29.737,416
wwan,folder,44,846,14617,2847,88187,17.278,3.365,104.240,96,28,553,21.741,149
fddi,folder,19,378,11727,2640,79387,31.024,6.984,210.019,457,148,2239,41.238,521
bonding,folder,9,449,9988,2379,59375,22.245,5.298,132.238,373,96,2171,28.185,523
wan,folder,22,419,10086,2238,65256,24.072,5.341,155.742,199,48,1388,30.162,271
ieee802154,folder,9,318,7481,1544,42956,23.525,4.855,135.082,105,72,679,28.814,138
ipa,folder,19,396,6694,1457,40484,16.904,3.679,102.232,117,58,732,22.967,154
vxlan,folder,5,246,6074,1402,38467,24.691,5.699,156.370,238,73,1673,29.902,284
ppp,folder,9,236,5759,1358,34674,24.403,5.754,146.924,214,58,1167,31.229,300
hamradio,folder,10,236,5703,1353,38967,24.165,5.733,165.114,190,60,1370,30.030,241
virtio_net.c,file,1,209,4654,1010,30261,22.268,4.833,144.789,262,63,1639,28.100,362
netdevsim,folder,13,331,5384,944,31720,16.266,2.852,95.831,102,15,536,19.242,119
wireguard,folder,21,227,4583,938,31499,20.189,4.132,138.762,161,32,1863,24.251,184
vmxnet3,folder,5,143,4640,913,31002,32.448,6.385,216.797,320,77,2027,39.378,413
hyperv,folder,5,161,4647,900,27820,28.863,5.590,172.795,157,27,971,37.901,217
macsec.c,file,1,134,3302,755,20246,24.642,5.634,151.090,199,42,1296,30.276,238
xen-netback,folder,6,161,3432,678,20701,21.317,4.211,128.578,151,29,933,27.174,192
mdio,folder,30,209,3715,669,23240,17.775,3.201,111.196,105,16,568,22.928,118
tun.c,file,1,130,2695,643,16419,20.731,4.946,126.300,269,78,1578,25.292,333
team,folder,6,214,2860,583,16078,13.364,2.724,75.131,153,33,803,15.182,190
