group_key,group_type,files,functions,sum_nloc,sum_ccn,sum_token,avg_nloc,avg_ccn,avg_token,max_nloc,max_ccn,max_token,avg_params,max_params
drivers/uavcan,folder,266,2542,27726,5303,203759,10.907,2.086,80.157,217,54,2358,14.013,342
drivers/imu,folder,101,1093,17465,3868,110765,15.979,3.539,101.340,220,51,1319,21.536,314
modules/mavlink,folder,123,1155,13269,3698,89547,11.488,3.202,77.530,442,116,2938,15.501,661
modules/ekf2,folder,147,1125,16707,3496,151143,14.851,3.108,134.349,599,82,12378,20.567,611
modules/commander,folder,82,439,10550,3009,77644,24.032,6.854,176.866,551,200,3696,33.697,807
drivers/ins,folder,20,728,11660,2079,72154,16.016,2.856,99.113,219,51,1457,20.617,336
modules/navigator,folder,40,397,7047,1841,47686,17.751,4.637,120.116,480,141,3765,24.368,760
drivers/distance_sensor,folder,48,412,7221,1462,41807,17.527,3.549,101.473,131,24,738,23.697,177
modules/sensors,folder,25,223,4821,1331,34620,21.619,5.969,155.247,159,59,1199,31.085,259
drivers/barometer,folder,53,390,5036,1007,32615,12.913,2.582,83.628,164,23,1191,17.426,233
drivers/magnetometer,folder,42,279,4433,959,27427,15.889,3.437,98.305,217,46,1453,20.763,283
lib/parameters,folder,29,264,3641,951,21626,13.792,3.602,81.917,121,41,726,18.610,152
modules/simulation,folder,29,215,4411,797,33590,20.516,3.707,156.233,205,67,1398,27.623,262
systemcmds/tests,folder,38,155,4434,757,32521,28.606,4.884,209.813,163,35,1816,40.632,241
modules/logger,folder,13,167,3163,728,19746,18.940,4.359,118.240,243,63,1734,25.539,381
lib/matrix,folder,47,392,4572,712,41284,11.663,1.816,105.316,336,18,3509,13.906,458
modules/flight_mode_manager,folder,27,202,2627,654,18946,13.005,3.238,93.792,105,36,914,18.223,174
modules/gyro_fft,folder,12,255,4221,632,32339,16.553,2.478,126.820,322,37,3339,26.988,819
modules/fw_pos_control,folder,7,106,2635,547,18908,24.858,5.160,178.377,262,66,1705,35.925,365
drivers/actuators,folder,12,107,2008,495,13254,18.766,4.626,123.869,200,60,1219,26.121,249
